PortNumber,AccNumber,PolNumber,PolPerilsCovered,AccCurrency,PolDed6All,PolPeril,PolDedType6All,LayerNumber,LayerAttachment,LayerLimit,LayerParticipation
Complex_100k,1,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,2,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,3,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,4,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,5,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,6,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,7,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,8,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,9,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,10,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,11,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,12,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,13,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,14,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,15,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,16,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,17,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,18,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,19,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,20,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,21,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,22,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,23,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,24,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,25,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,26,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,27,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,28,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,29,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,30,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,31,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,32,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,33,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,34,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,35,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,36,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,37,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,38,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,39,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,40,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,41,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,42,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,43,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,44,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,45,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,46,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,47,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,48,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,49,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,50,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,51,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
Complex_100k,52,1,ORF,GBP,100000,ORF,0,1,0,10000000,0.5
